USA,56.602,11.3181825263686
CHN,59.948,9.468942046749863
DEU,55.848,10.895635148477334
IND,31.243,7.836022135050193
JPN,54.847,10.42928579395192
GBR,57.365,10.803665368861385
FRA,51.826,10.707525953311263
ITA,41.313,10.57299306925249
CAN,61.134,10.90081118175779
BRA,53.205,9.247403883046601
RUS,55.199,9.558133124456292
ESP,52.842,10.419569720381377
KOR,56.038,10.407934011281908
AUS,62.374,11.0796150493703
MEX,47.317,9.534315606555467
TUR,35.764,9.480799362528524
IDN,52.545,8.492143602867646
NLD,62.937,11.075536251513762
SAU,34.112,10.495621651905047
POL,51.867,10.005378951661593
CHE,62.294,11.519223617455625
BEL,49.831,10.909437880118752
ARG,52.957,9.56011535662277
SWE,61.763,10.925346380666658
IRL,59.968,11.551066753331831
ISR,61.825,10.859070534870089
SGP,61.973,11.355244581996212
ARE,53.475,10.80040573755916
THA,59.285,8.881155699721921
AUT,55.812,10.933706322070936
NOR,61.765,11.37936354536244
PHL,50.369,8.243830174562001
VNM,69.533,8.371785917661148
BGD,43.712,7.844247671576308
DNK,59.812,11.133915467945613
MYS,51.573,9.339532317134124
COL,51.859,8.853784935897595
HKG,52.412,10.83102410786382
ZAF,52.929,8.703264798295269
ROU,42.008,9.82033814963356
PAK,24.195,7.219033710267235
CZE,53.235,10.360629347546004
EGY,15.3,8.1480956005131
CHL,51.963,9.744904190869768
IRN,13.592,8.404167298014544
PRT,54.891,10.217797877390282
FIN,57.489,10.874673800248083
PER,65.083,8.973039813865634
KAZ,66.596,9.463386551915699
DZA,14.132,8.587470455094055
GRC,44.673,10.060522406920517
IRQ,10.872,8.69371770289459
NZL,66.932,10.792507888853741
HUN,53.938,10.012887953162561
QAT,63.257,11.292227354262971
UKR,nan,8.544730173395028
CUB,39.947,nan
NGA,80.768,7.375654796943747
MAR,19.709,8.23521383792554
KWT,48.865,10.436344173172426
SVK,55.721,10.113487029659689
UZB,39.626,7.965187450999593
KEN,62.434,7.57676578927652
DOM,52.482,9.271476086111296
ECU,52.521,8.815495788476774
GTM,40.412,8.658399093039142
ETH,57.378,nan
BGR,51.043,9.673058895068905
AGO,73.224,7.744801108037163
VEN,38.018,nan
OMN,30.619,9.950966528362452
CRI,44.088,9.737552607561982
LKA,31.619,8.242464241406196
HRV,47.144,9.992663331859974
LUX,57.213,11.786059841197059
CIV,58.864,7.8456795292267625
SRB,49.949,9.415849820309411
PAN,52.694,9.835551538242738
LTU,57.914,10.232287783832573
TKM,48.708,9.01586350904457
GHA,61.815,7.776494802893907
TZA,80.2,7.110279402712744
URY,57.276,10.044093580136517
AZE,60.952,8.872491161028469
SVN,53.532,10.392377670271875
BLR,57.385,8.974207053120542
MMR,41.061,7.1173649893043835
UGA,76.448,6.910061756106102
BOL,71.909,8.212373088796824
TUN,26.781,8.281565876667223
JOR,14.004,8.404267048905218
CMR,57.148,7.459834688616578
KHM,73.986,7.795543047246606
BHR,43.096,10.285005824295261
LBY,33.149,8.727909842765476
NPL,27.554,7.231526163637775
LVA,55.383,10.02904379304984
PRY,58.994,8.748303367193737
EST,61.049,10.313386299209066
CYP,62.475,10.506475259740043
BOL,71.909,8.212373088796824
UGA,76.448,6.910061756106102
ZAF,52.929,8.703264798295269
BGD,43.712,7.844247671576308
