Date,USA_GDPP,CHN_GDPP,JPN_GDPP,DEU_GDPP,IND_GDPP,GBR_GDPP,BRA_GDPP,RUS_GDPP,ZAF_GDPP,KOR_GDPP,BGD_GDPP,SGP_GDPP,HKG_GDPP,IDN_GDPP,VNM_GDPP
1960-12-31,3002.08929545597,89.7150749167731,508.702779291773,1162.12266831735,84.9328084793106,1397.5948032844,235.266009502589,nan,532.147504330332,158.274135881229,82.4812774116354,428.056183371291,426.773807917233,nan,nan
1961-12-31,3062.97411600143,75.9655011127574,608.864581144951,1315.90787834504,87.8538613470205,1472.38571407868,231.564063269854,nan,545.657511922673,93.8313831944754,90.3685786294248,449.148136820776,436.754411520393,nan,nan
1962-12-31,3241.857658528,71.0616845971262,684.565509797705,1430.52095516263,92.1999583629516,1525.77585271032,250.200572910273,nan,563.423008817945,106.159702780685,92.5894211769315,472.082740153988,487.821134050813,nan,nan
1963-12-31,3373.3573050342,74.4681540864463,775.592123080162,1502.15452905146,103.435021262932,1613.45688373392,294.169619376733,nan,604.536855270991,146.302492590131,94.1423742967849,511.202235371449,565.727810358046,nan,nan
1964-12-31,3573.06354552111,85.6611074645449,902.867721515126,1637.45522773672,117.856430772855,1748.2881176141,257.259726897671,nan,645.873375685446,123.606374492665,92.5782977938389,485.530686047381,629.591525784494,nan,nan
1965-12-31,3826.51724799466,98.6681688740435,993.732722209078,1774.1986904555,121.50831902883,1873.56777435421,268.028760553723,nan,684.62122774035,108.723112442051,98.6041470420746,516.531928636745,676.805507110096,nan,nan
1966-12-31,4141.64653851663,104.50646350178,1143.60789652395,1870.80540291774,91.0276950517841,1986.74715869685,328.343791519407,nan,721.75375941418,133.479834432364,104.42205467886,566.803974405961,685.926614135084,nan,nan
1967-12-31,4331.58115274285,96.7614480104016,1326.36103912253,1885.61596607874,97.9951481214155,2058.78188198056,351.472600370379,nan,778.839335829791,161.159443282246,114.209881696109,626.029437593984,723.239225616661,53.2051866988581,nan
1968-12-31,4691.63403587259,91.6454581848979,1553.27139379996,2025.08159465853,101.556802521195,1951.75859587532,373.925432639683,nan,817.128340614066,198.434884397043,114.414967470375,708.601436896422,714.48296958061,64.6547730642556,nan
1969-12-31,5025.09477492148,100.308139479526,1802.98028061972,2281.27598218229,109.477664384288,2100.66786858672,399.49841913391,nan,890.922089102936,243.426137656633,125.880311698198,812.677487316618,825.523449142012,74.0988114128793,nan
1970-12-31,5234.2966662115,113.346243039894,2100.74807036009,2771.28310514754,114.35532002008,2347.54431773747,443.799484982738,nan,952.352188073537,279.308746302217,130.218160844955,925.797864348214,960.031961510704,79.118823484002,nan
